Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Month_Num,AnoMes,Faixa_Etaria
1,CUST001,Male,34,Beauty,3,50.0,150.0,November,11,2023-11,26-35
2,CUST002,Female,26,Clothing,2,500.0,1000.0,February,2,2023-02,26-35
3,CUST003,Male,50,Electronics,1,30.0,30.0,January,1,2023-01,36-50
4,CUST004,Male,37,Clothing,1,500.0,500.0,May,5,2023-05,36-50
5,CUST005,Male,30,Beauty,2,50.0,100.0,May,5,2023-05,26-35
6,CUST006,Female,45,Beauty,1,30.0,30.0,April,4,2023-04,36-50
7,CUST007,Male,46,Clothing,2,25.0,50.0,March,3,2023-03,36-50
8,CUST008,Male,30,Electronics,4,25.0,100.0,February,2,2023-02,26-35
9,CUST009,Male,63,Electronics,2,300.0,600.0,December,12,2023-12,51-64
10,CUST010,Female,52,Clothing,4,50.0,200.0,October,10,2023-10,51-64
11,CUST011,Male,23,Clothing,2,50.0,100.0,February,2,2023-02,18-25
12,CUST012,Male,35,Beauty,3,25.0,75.0,October,10,2023-10,26-35
13,CUST013,Male,22,Electronics,3,500.0,1500.0,August,8,2023-08,18-25
14,CUST014,Male,64,Clothing,4,30.0,120.0,January,1,2023-01,51-64
15,CUST015,Female,42,Electronics,4,500.0,2000.0,January,1,2023-01,36-50
16,CUST016,Male,19,Clothing,3,500.0,1500.0,February,2,2023-02,18-25
17,CUST017,Female,27,Clothing,4,25.0,100.0,April,4,2023-04,26-35
18,CUST018,Female,47,Electronics,2,25.0,50.0,April,4,2023-04,36-50
19,CUST019,Female,62,Clothing,2,25.0,50.0,September,9,2023-09,51-64
20,CUST020,Male,22,Clothing,3,300.0,900.0,November,11,2023-11,18-25
21,CUST021,Female,50,Beauty,1,500.0,500.0,January,1,2023-01,36-50
22,CUST022,Male,18,Clothing,2,50.0,100.0,October,10,2023-10,
23,CUST023,Female,35,Clothing,4,30.0,120.0,April,4,2023-04,26-35
24,CUST024,Female,49,Clothing,1,300.0,300.0,November,11,2023-11,36-50
25,CUST025,Female,64,Beauty,1,50.0,50.0,December,12,2023-12,51-64
26,CUST026,Female,28,Electronics,2,500.0,1000.0,October,10,2023-10,26-35
27,CUST027,Female,38,Beauty,2,25.0,50.0,August,8,2023-08,36-50
28,CUST028,Female,43,Beauty,1,500.0,500.0,April,4,2023-04,36-50
29,CUST029,Female,42,Electronics,1,30.0,30.0,August,8,2023-08,36-50
30,CUST030,Female,39,Beauty,3,300.0,900.0,October,10,2023-10,36-50
31,CUST031,Male,44,Electronics,4,300.0,1200.0,May,5,2023-05,36-50
32,CUST032,Male,30,Beauty,3,30.0,90.0,January,1,2023-01,26-35
33,CUST033,Female,50,Electronics,2,50.0,100.0,March,3,2023-03,36-50
34,CUST034,Female,51,Clothing,3,50.0,150.0,December,12,2023-12,51-64
35,CUST035,Female,58,Beauty,3,300.0,900.0,August,8,2023-08,51-64
36,CUST036,Male,52,Beauty,3,300.0,900.0,June,6,2023-06,51-64
37,CUST037,Female,18,Beauty,3,25.0,75.0,May,5,2023-05,
38,CUST038,Male,38,Beauty,4,50.0,200.0,March,3,2023-03,36-50
39,CUST039,Male,23,Clothing,4,30.0,120.0,April,4,2023-04,18-25
40,CUST040,Male,45,Beauty,1,50.0,50.0,June,6,2023-06,36-50
41,CUST041,Male,34,Clothing,2,25.0,50.0,February,2,2023-02,26-35
42,CUST042,Male,22,Clothing,3,300.0,900.0,February,2,2023-02,18-25
43,CUST043,Female,48,Clothing,1,300.0,300.0,July,7,2023-07,36-50
44,CUST044,Female,22,Clothing,1,25.0,25.0,February,2,2023-02,18-25
45,CUST045,Female,55,Electronics,1,30.0,30.0,July,7,2023-07,51-64
46,CUST046,Female,20,Electronics,4,300.0,1200.0,June,6,2023-06,18-25
47,CUST047,Female,40,Beauty,3,500.0,1500.0,November,11,2023-11,36-50
48,CUST048,Male,54,Electronics,3,300.0,900.0,May,5,2023-05,51-64
49,CUST049,Female,54,Electronics,2,500.0,1000.0,January,1,2023-01,51-64
50,CUST050,Female,27,Beauty,3,25.0,75.0,August,8,2023-08,26-35
51,CUST051,Male,27,Beauty,3,25.0,75.0,October,10,2023-10,26-35
52,CUST052,Female,36,Beauty,1,300.0,300.0,March,3,2023-03,36-50
53,CUST053,Male,34,Electronics,2,50.0,100.0,July,7,2023-07,26-35
54,CUST054,Female,38,Electronics,3,500.0,1500.0,February,2,2023-02,36-50
